,Film,Year,Body_Count,MPAA_Rating,Genre,Director,Length_Minutes,IMDB_Rating,Film_Count,Body_Count_Min
762,Major Dundee,1965,147.0,Approved,War,Sam Peckinpah,123,6.8,1,1.1951219512195121
763,Major Dundee,1965,147.0,Approved,Western,Sam Peckinpah,123,6.8,1,1.1951219512195121
764,Marked for Death,1990,34.0,R,Action,Dwight H. Little,93,5.7,1,0.3655913978494624
765,Marked for Death,1990,34.0,R,Crime,Dwight H. Little,93,5.7,1,0.3655913978494624
766,Marked for Death,1990,34.0,R,Drama,Dwight H. Little,93,5.7,1,0.3655913978494624
767,Marked for Death,1990,34.0,R,Thriller,Dwight H. Little,93,5.7,1,0.3655913978494624
768,Master and Commander: The Far Side of the World,2003,122.0,PG-13,Action,Peter Weir,138,7.4,1,0.8840579710144928
769,Master and Commander: The Far Side of the World,2003,122.0,PG-13,Adventure,Peter Weir,138,7.4,1,0.8840579710144928
770,Master and Commander: The Far Side of the World,2003,122.0,PG-13,Drama,Peter Weir,138,7.4,1,0.8840579710144928
771,Maverick,1994,4.0,PG,Action,Richard Donner,127,6.9,1,0.031496062992125984
772,Maverick,1994,4.0,PG,Adventure,Richard Donner,127,6.9,1,0.031496062992125984
773,Maverick,1994,4.0,PG,Comedy,Richard Donner,127,6.9,1,0.031496062992125984
774,Maverick,1994,4.0,PG,Thriller,Richard Donner,127,6.9,1,0.031496062992125984
775,Maverick,1994,4.0,PG,Western,Richard Donner,127,6.9,1,0.031496062992125984
776,Max Payne,2008,38.0,PG-13,Action,John Moore,100,5.3,1,0.38
777,Max Payne,2008,38.0,PG-13,Crime,John Moore,100,5.3,1,0.38
778,Max Payne,2008,38.0,PG-13,Drama,John Moore,100,5.3,1,0.38
779,Max Payne,2008,38.0,PG-13,Mystery,John Moore,100,5.3,1,0.38
780,Max Payne,2008,38.0,PG-13,Thriller,John Moore,100,5.3,1,0.38
781,Maximum Risk,1996,18.0,R,Action,Ringo Lam,101,5.2,1,0.1782178217821782
782,Maximum Risk,1996,18.0,R,Adventure,Ringo Lam,101,5.2,1,0.1782178217821782
783,Maximum Risk,1996,18.0,R,Crime,Ringo Lam,101,5.2,1,0.1782178217821782
784,Maximum Risk,1996,18.0,R,Thriller,Ringo Lam,101,5.2,1,0.1782178217821782
785,McBain,1991,181.0,R,Action,James Glickenhaus,107,4.6,1,1.691588785046729
786,McBain,1991,181.0,R,Drama,James Glickenhaus,107,4.6,1,1.691588785046729
787,Mean Machine,2001,3.0,R,Comedy,Barry Skolnick,99,6.4,1,0.030303030303030304
788,Mean Machine,2001,3.0,R,Drama,Barry Skolnick,99,6.4,1,0.030303030303030304
789,Mean Machine,2001,3.0,R,Sport,Barry Skolnick,99,6.4,1,0.030303030303030304
790,Memento,2000,4.0,R,Mystery,Christopher Nolan,113,8.6,1,0.035398230088495575
791,Memento,2000,4.0,R,Thriller,Christopher Nolan,113,8.6,1,0.035398230088495575
792,Milk,2008,4.0,R,Biography,Gus Van Sant,128,7.6,1,0.03125
793,Milk,2008,4.0,R,Drama,Gus Van Sant,128,7.6,1,0.03125
794,Milk,2008,4.0,R,History,Gus Van Sant,128,7.6,1,0.03125
795,Minority Report,2002,4.0,PG-13,Action,Steven Spielberg,145,7.7,1,0.027586206896551724
796,Minority Report,2002,4.0,PG-13,Mystery,Steven Spielberg,145,7.7,1,0.027586206896551724
